proteinId	description	modelnotes	defline
1064274	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1064289	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1064328	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1064352	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1064354	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1064557	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1064587	CE4		Carbohydrate Esterase Family 4 protein
1064715	GH3		Glycoside Hydrolase Family 3 protein
1064719	GH3		Glycoside Hydrolase Family 3 protein
1064734	DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1064865	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1065130	CBM18		Carbohydrate-Binding Module Family 18 protein
1065258	CE4		Carbohydrate Esterase Family 4 protein
1065647	GT8		Glycosyltransferase Family 8 protein
1065949	CBM18		Carbohydrate-Binding Module Family 18 protein
1065964	CBM18		Carbohydrate-Binding Module Family 18 protein
1066038	CBM18		Carbohydrate-Binding Module Family 18 protein
1066117	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1066315	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1066736	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1068080	CBM18		Carbohydrate-Binding Module Family 18 protein
1068310	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1069141	CBM13	fragment N-term;	Carbohydrate-Binding Module Family 13 protein
1071101	GH10	(fragment)  splicing problem;	Glycoside Hydrolase Family 10 protein
1071175	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1071357	GT22	fragment C-term;	Glycosyltransferase Family 22 protein
1072397	GH37		Glycoside Hydrolase Family 37 protein
1072876	GT2	fragment N-term / C-term;	Glycosyltransferase Family 2 protein
1073654	GH11		Glycoside Hydrolase Family 11 protein
1076364	CBM48		Carbohydrate-Binding Module Family 48 protein
1077952	CBM18		Carbohydrate-Binding Module Family 18 protein
1078284	GH45-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
1078636	GT71		Glycosyltransferase Family 71 protein
1079159	DOC2-DOC2		Non-Catalytic Module Family DOC2
1079711	CBM52-DOC2-DOC2-GH16_3-GH16_3-GH16_3		Carbohydrate-Binding Module Family 52  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
1081700	GT2		Glycosyltransferase Family 2 protein
1082038	CBM18		Carbohydrate-Binding Module Family 18 protein
1082088	GT8		Glycosyltransferase Family 8 protein
1082256	GH114		Glycoside Hydrolase Family 114 protein
1082613	GT2		Glycosyltransferase Family 2 protein
1082710	CBM18	fragment N-term;	Carbohydrate-Binding Module Family 18 protein
1082860	GH10-CBM29-CBM29-CBM29-CBM29-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29  / Non-Catalytic Module Family DOC2
1083504	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1083964	GH5_4		Glycoside Hydrolase Family 5 protein
1083986	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1084457	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1084515	GT20		Glycosyltransferase Family 20 protein
1084953	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1085199	GH11		Glycoside Hydrolase Family 11 protein
1085200	GH11		Glycoside Hydrolase Family 11 protein
1086223	GH11		Glycoside Hydrolase Family 11 protein
1086461	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1087032	DOC2		Non-Catalytic Module Family DOC2
1089011	CBM18		Carbohydrate-Binding Module Family 18 protein
1089683	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1089686	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1268458	CE1-CE1-CE1		Carbohydrate Esterase Family 1 protein
1269040	GH10-CBM1	fragment N-term;	Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1269041	GH10-CBM1	fragment N-term;	Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1270280	GH43_1		Glycoside Hydrolase Family 43 protein
1270679	CBM10-CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
1271028	GH74-DOC2-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
1271135	GT2		Glycosyltransferase Family 2 protein
1271205	GT22	fragment C-term;	Glycosyltransferase Family 22 protein
1272269	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1272329	CE4		Carbohydrate Esterase Family 4 protein
1272592	GH1	fragment N-term;	Glycoside Hydrolase Family 1 protein
1273039	GH3	fragment N-term / C-term;	Glycoside Hydrolase Family 3 protein
1273901	CBM18		Carbohydrate-Binding Module Family 18 protein
1274167	CBM21		Carbohydrate-Binding Module Family 21 protein
1274558	PL4		Polysaccharide Lyase Family 4 protein
1274947	DOC2		Non-Catalytic Module Family DOC2
1275190	GH45	fragment C-term;	Glycoside Hydrolase Family 45 protein
1276527	GT71		Glycosyltransferase Family 71 protein
1276553	GT3		Glycosyltransferase Family 3 protein
1277176	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1277335	CBM48		Carbohydrate-Binding Module Family 48 protein
1277337	GT35	fragment N-term;	Glycosyltransferase Family 35 protein
1278435	CBM18-GH18-DOC2-DOC2		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
1278464	GH5_4-GH5_4-DOC2-DOC2	fragment N-term;	Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1279472	GH10		Glycoside Hydrolase Family 10 protein
1279617	GH114		Glycoside Hydrolase Family 114 protein
1280077	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1280133	GH18	fragment C-term;	Glycoside Hydrolase Family 18 protein
1281121	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1281989	GT71		Glycosyltransferase Family 71 protein
1283074	GT33	fragment C-term;	Glycosyltransferase Family 33 protein
1284151	CBM18		Carbohydrate-Binding Module Family 18 protein
1285300	CBM18		Carbohydrate-Binding Module Family 18 protein
1285302	GH43_16-CBM6-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Non-Catalytic Module Family DOC2
1285453	GH43_16	fragment N-term;	Glycoside Hydrolase Family 43 protein
1285502	GH20		Glycoside Hydrolase Family 20 protein
1285551	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1285555	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1285559	CBM1		Carbohydrate-Binding Module Family 1 protein
1285636	DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1285707	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1285714	GT17		Glycosyltransferase Family 17 protein
1285775	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1285776	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1286052	GH3		Glycoside Hydrolase Family 3 protein
1286053	GH3		Glycoside Hydrolase Family 3 protein
1286220	CBM21		Carbohydrate-Binding Module Family 21 protein
1286465	GH5_5-CBM10-CBM10-GH5_5-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
1286802	CBM1		Carbohydrate-Binding Module Family 1 protein
1286824	CBM13-PL1-CBM13-CBM13		Carbohydrate-Binding Module Family 13  / Polysaccharide Lyase Family 1 protein
1287244	GH26	fragment N-term / C-term;	Glycoside Hydrolase Family 26 protein
1287286	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1287387	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1287456	GT3		Glycosyltransferase Family 3 protein
1287541	GH5_7		Glycoside Hydrolase Family 5 protein
1287557	CBM18		Carbohydrate-Binding Module Family 18 protein
1287806	CBM10-CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
1287907	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1288575	DOC2		Non-Catalytic Module Family DOC2
1288584	DOC2-DOC2		Non-Catalytic Module Family DOC2
1288592	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1288862	DOC2-DOC2		Non-Catalytic Module Family DOC2
1288902	CBM32		Carbohydrate-Binding Module Family 32 protein
1288914	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1289062	GH32		Glycoside Hydrolase Family 32 protein
1289073	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1289151	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1289249	GH11		Glycoside Hydrolase Family 11 protein
1289250	GH11		Glycoside Hydrolase Family 11 protein
1289293	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1289373	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1289410	DOC2-DOC2		Non-Catalytic Module Family DOC2
1289440	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1289443	GH5_7-CBM1-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
1289545	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1289844	GT39	fragment C-term;	Glycosyltransferase Family 39 protein
1289923	GH3		Glycoside Hydrolase Family 3 protein
1290109	GH3		Glycoside Hydrolase Family 3 protein
1290219	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1291186	PL1		Polysaccharide Lyase Family 1 protein
1291276	PL4		Polysaccharide Lyase Family 4 protein
1291280	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1291505	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1291508	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1291510	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1291701	CBM18		Carbohydrate-Binding Module Family 18 protein
1291702	CBM18		Carbohydrate-Binding Module Family 18 protein
1291786	GH11		Glycoside Hydrolase Family 11 protein
1291856	CBM18		Carbohydrate-Binding Module Family 18 protein
1291947	GT101		Glycosyltransferase Family 101 protein
1292051	DOC2-DOC2		Non-Catalytic Module Family DOC2
1292258	CE4		Carbohydrate Esterase Family 4 protein
1292264	GT39		Glycosyltransferase Family 39 protein
1292646	DOC2-DOC2		Non-Catalytic Module Family DOC2
1293109	DOC2-DOC2-GH5_4	fragment C-term;	Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1293336	GH11-GH11-GH11-CE4		Glycoside Hydrolase Family 11  / Carbohydrate Esterase Family 4 protein
1293346	GH5_4		Glycoside Hydrolase Family 5 protein
1293355	CBM18		Carbohydrate-Binding Module Family 18 protein
1293817	CBM18		Carbohydrate-Binding Module Family 18 protein
1293984	GH39-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1294043	GT71		Glycosyltransferase Family 71 protein
1294060	GH43_2-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1294171	CBM10-GH45		Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
1294191	DOC2		Non-Catalytic Module Family DOC2
1294231	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1294326	GT101		Glycosyltransferase Family 101 protein
1294335	DOC2	fragment N-term;	Non-Catalytic Module Family DOC2
1294648	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1294676	GH5_4	fragment N-term / C-term;	Glycoside Hydrolase Family 5 protein
1294735	DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1294738	DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1294739	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1294796	GH43_16-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1294852	GH3		Glycoside Hydrolase Family 3 protein
1294853	GH3		Glycoside Hydrolase Family 3 protein
1295013	DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1295023	GH3		Glycoside Hydrolase Family 3 protein
1295025	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1295164	CE4		Carbohydrate Esterase Family 4 protein
1295169	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1295187	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1295221	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1295299	DOC2-DOC2		Non-Catalytic Module Family DOC2
1295525	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1295744	GH5_7		Glycoside Hydrolase Family 5 protein
1295810	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1295977	GH3		Glycoside Hydrolase Family 3 protein
1296071	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1296147	CE4		Carbohydrate Esterase Family 4 protein
1296375	GH5_7	fragment N-term;	Glycoside Hydrolase Family 5 protein
1296433	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1296435	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1296497	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1296588	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1296626	GH1		Glycoside Hydrolase Family 1 protein
1296684	GH3		Glycoside Hydrolase Family 3 protein
1296956	CE4		Carbohydrate Esterase Family 4 protein
1297203	DOC2-DOC2		Non-Catalytic Module Family DOC2
1297604	CE4		Carbohydrate Esterase Family 4 protein
1297688	PL3_2		Polysaccharide Lyase Family 3 protein
1297735	GH3		Glycoside Hydrolase Family 3 protein
1298002	GH115		Glycoside Hydrolase Family 115 protein
1298417	DOC2-DOC2		Non-Catalytic Module Family DOC2
1298495	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1298525	DOC2-DOC2		Non-Catalytic Module Family DOC2
1298658	PL3_2		Polysaccharide Lyase Family 3 protein
1298671	PL3_2		Polysaccharide Lyase Family 3 protein
1299053	PL11_2		Polysaccharide Lyase Family 11 protein
1299127	CBM1-CE12		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1299175	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1299487	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1299713	CBM18		Carbohydrate-Binding Module Family 18 protein
1299880	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1300325	GH11-GH10		Glycoside Hydrolase Family 11  / Glycoside Hydrolase Family 10 protein
1300655	DOC2-DOC2		Non-Catalytic Module Family DOC2
1300801	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1300846	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1300847	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1300851	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1300963	DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1301222	GH3		Glycoside Hydrolase Family 3 protein
1301273	CE4		Carbohydrate Esterase Family 4 protein
1301479	GH3		Glycoside Hydrolase Family 3 protein
1301483	GH3		Glycoside Hydrolase Family 3 protein
1301655	GH45		Glycoside Hydrolase Family 45 protein
1301996	GH11		Glycoside Hydrolase Family 11 protein
1302008	GH11		Glycoside Hydrolase Family 11 protein
1302257	CBM32		Carbohydrate-Binding Module Family 32 protein
1302310	CBM18		Carbohydrate-Binding Module Family 18 protein
1302491	CBM1		Carbohydrate-Binding Module Family 1 protein
1302500	GH3		Glycoside Hydrolase Family 3 protein
1302520	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1303068	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1303186	CE3-DOC2		Carbohydrate Esterase Family 3  / Non-Catalytic Module Family DOC2
1303432	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1303879	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1303929	GH1		Glycoside Hydrolase Family 1 protein
1304294	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1304698	GT39		Glycosyltransferase Family 39 protein
1304717	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1304742	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1305161	GH11		Glycoside Hydrolase Family 11 protein
1305162	GH11		Glycoside Hydrolase Family 11 protein
1305163	GH11		Glycoside Hydrolase Family 11 protein
1305164	GH11		Glycoside Hydrolase Family 11 protein
1305165	GH11		Glycoside Hydrolase Family 11 protein
1305169	CBM48		Carbohydrate-Binding Module Family 48 protein
1305204	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1305345	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1305364	CBM1		Carbohydrate-Binding Module Family 1 protein
1305401	GH32		Glycoside Hydrolase Family 32 protein
1305531	GH43_16-CBM6-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1305577	CE4		Carbohydrate Esterase Family 4 protein
1305646	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1305647	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1305689	GH10-CBM29-CBM29-CBM29-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29  / Non-Catalytic Module Family DOC2
1305707	DOC2-DOC2		Non-Catalytic Module Family DOC2
1305814	DOC2-DOC2-CBM13-GH95		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Glycoside Hydrolase Family 95 protein
1305997	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1306473	GH3		Glycoside Hydrolase Family 3 protein
1306697	GH3		Glycoside Hydrolase Family 3 protein
1306967	CBM18		Carbohydrate-Binding Module Family 18 protein
1307221	GH16_10		Glycoside Hydrolase Family 16 protein
1307464	CBM18		Carbohydrate-Binding Module Family 18 protein
1307515	GT71		Glycosyltransferase Family 71 protein
1307551	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1307763	DOC2-DOC2		Non-Catalytic Module Family DOC2
1307765	GH114		Glycoside Hydrolase Family 114 protein
1307829	DOC2-DOC2		Non-Catalytic Module Family DOC2
1307887	EXPN		Distantly related to plant expansins
1307926	GH10		Glycoside Hydrolase Family 10 protein
1308050	PL1		Polysaccharide Lyase Family 1 protein
1308100	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1308147	PL4		Polysaccharide Lyase Family 4 protein
1308197	GT2		Glycosyltransferase Family 2 protein
1308268	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1308702	CBM18		Carbohydrate-Binding Module Family 18 protein
1308914	CBM18		Carbohydrate-Binding Module Family 18 protein
1308986	GT2		Glycosyltransferase Family 2 protein
1309038	GT2		Glycosyltransferase Family 2 protein
1309187	DOC2-DOC2		Non-Catalytic Module Family DOC2
1309416	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1309418	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1309607	GH18		Glycoside Hydrolase Family 18 protein
1309684	GH11		Glycoside Hydrolase Family 11 protein
1309945	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1309950	DOC2-DOC2		Non-Catalytic Module Family DOC2
1309951	DOC2-DOC2		Non-Catalytic Module Family DOC2
1310005	DOC2-DOC2		Non-Catalytic Module Family DOC2
1310068	PL1_6		Polysaccharide Lyase Family 1 protein
1310133	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1310557	GH11		Glycoside Hydrolase Family 11 protein
1310558	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1311118	GH18		Glycoside Hydrolase Family 18 protein
1311266	DOC2		Non-Catalytic Module Family DOC2
1311718	GH5_4		Glycoside Hydrolase Family 5 protein
1311779	GH114		Glycoside Hydrolase Family 114 protein
1311897	DOC2-DOC2		Non-Catalytic Module Family DOC2
1312139	DOC2		Non-Catalytic Module Family DOC2
1312603	CBM18		Carbohydrate-Binding Module Family 18 protein
1312689	CBM18-GH18-DOC2-DOC2		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
1312697	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1312730	CBM1		Carbohydrate-Binding Module Family 1 protein
1312731	CBM1		Carbohydrate-Binding Module Family 1 protein
1312733	CBM1		Carbohydrate-Binding Module Family 1 protein
1312734	CBM1		Carbohydrate-Binding Module Family 1 protein
1312736	CBM1		Carbohydrate-Binding Module Family 1 protein
1312737	DOC2-GH26-GH26		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1312738	DOC2-GH26-GH26-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1312742	DOC2-GH26-GH26-GH26-GH26-DOC2-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1313018	GH3	fragment N-term;	Glycoside Hydrolase Family 3 protein
1313021	DOC2-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1313027	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1313028	DOC2-DOC2		Non-Catalytic Module Family DOC2
1313121	GH5_8-CBM10-GH5_8	fragment N-term / C-term;	Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
1313242	CBM87-CE18-DOC2		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18  / Non-Catalytic Module Family DOC2
1313290	GH6	fragment C-term;	Glycoside Hydrolase Family 6 protein
1313375	CBM1-CE12		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1313536	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1313560	GH5_4		Glycoside Hydrolase Family 5 protein
1313739	PL4-CBM1		Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1 protein
1314054	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1314071	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1314073	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1314078	GT8		Glycosyltransferase Family 8 protein
1314111	GH11		Glycoside Hydrolase Family 11 protein
1314358	GH16_21		Glycoside Hydrolase Family 16 protein
1314361	GH16_21		Glycoside Hydrolase Family 16 protein
1314410	GH43_35		Glycoside Hydrolase Family 43 protein
1314517	CE1		Carbohydrate Esterase Family 1 protein
1314847	DOC2-DOC2-CE1-CE1-CE1-CE1-CE1-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1314998	GH11		Glycoside Hydrolase Family 11 protein
1314999	GH11		Glycoside Hydrolase Family 11 protein
1315001	GH11		Glycoside Hydrolase Family 11 protein
1315065	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1315070	CBM1-PL1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1315091	GH11		Glycoside Hydrolase Family 11 protein
1315092	GH11		Glycoside Hydrolase Family 11 protein
1315385	GH5_7		Glycoside Hydrolase Family 5 protein
1315540	CE4		Carbohydrate Esterase Family 4 protein
1316247	GH115		Glycoside Hydrolase Family 115 protein
1316318	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1316339	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1316366	CBM1		Carbohydrate-Binding Module Family 1 protein
1316522	CE4		Carbohydrate Esterase Family 4 protein
1316928	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1317044	GH11		Glycoside Hydrolase Family 11 protein
1317047	CE4		Carbohydrate Esterase Family 4 protein
1317193	GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1317226	EXPN-CBM63		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
1317297	GT39		Glycosyltransferase Family 39 protein
1317439	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1317457	GH11-GH11-GH11-DOC2-DOC2-CE4		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 4 protein
1317462	DOC2-DOC2-GH115		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 115 protein
1317855	PL3_2		Polysaccharide Lyase Family 3 protein
1317857	PL3_2		Polysaccharide Lyase Family 3 protein
1317859	PL3_2		Polysaccharide Lyase Family 3 protein
1317867	PL3_2		Polysaccharide Lyase Family 3 protein
1317869	PL3_2		Polysaccharide Lyase Family 3 protein
