Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A7GRG6	SUCC_BACCN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bcer98_2488	Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	386
B9JTS8	SUCC_AGRVS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Avi_4127	Agrobacterium vitis (strain S4 / ATCC BAA-846) (Rhizobium vitis (strain S4))	398
Q21IW6	SUCC_SACD2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sde_2103	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	388
Q4FVH9	SUCC_PSYA2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Psyc_0105	Psychrobacter arcticus (strain DSM 17307 / 273-4)	388
A5V080	SUCC_ROSS1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RoseRS_3930	Roseiflexus sp. (strain RS-1)	379
Q5GSB6	SUCC_WOLTR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Wbm0520	Wolbachia sp. subsp. Brugia malayi (strain TRS)	386
P66871	SUCC_STAAM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SAV1245	Staphylococcus aureus (strain Mu50 / ATCC 700699)	388
Q6F8L4	SUCC_ACIAD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ACIAD2873	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	388
Q122H7	SUCC_POLSJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bpro_4682	Polaromonas sp. (strain JS666 / ATCC BAA-500)	386
Q4ZUW7	SUCC_PSEU2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Psyr_2012	Pseudomonas syringae pv. syringae (strain B728a)	388
Q98EC5	SUCC_RHILO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC mll4306	Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) (Mesorhizobium loti (strain MAFF 303099))	397
B3E7B3	SUCC_GEOLS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Glov_2717	Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ)	387
A1TW81	SUCC_ACIAC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Aave_4684	Acidovorax citrulli (strain AAC00-1) (Acidovorax avenae subsp. citrulli)	386
Q0A5K0	SUCC_ALKEH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Mlg_2547	Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)	391
A8MM16	SUCC_ALKOO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Clos_0623	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	386
Q2G3G8	SUCC_NOVAD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Saro_3170	Novosphingobium aromaticivorans (strain ATCC 700278 / DSM 12444 / CIP 105152 / NBRC 16084 / F199)	399
A9GD65	SUCC_SORC5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC sce9142	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	398
Q5NMF5	SUCC_ZYMMO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ZMO1481	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	398
A1KAU3	SUCC_AZOSB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC azo3333	Azoarcus sp. (strain BH72)	386
C0ZFB3	SUCC_BREBN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BBR47_34950	Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)	386
C4L610	SUCC_EXISA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC EAT1b_2902	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	386
A1R3M0	SUCC_PAEAT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC AAur_1044	Paenarthrobacter aurescens (strain TC1)	389
Q1H031	SUCC_METFK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Mfla_1889	Methylobacillus flagellatus (strain KT / ATCC 51484 / DSM 6875)	387
A8EYY8	SUCC_RICCK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC A1E_03180	Rickettsia canadensis (strain McKiel)	386
B6IP72	SUCC_RHOCS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RC1_2187	Rhodospirillum centenum (strain ATCC 51521 / SW)	398
Q6MGW1	SUCC_BDEBA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bd3810	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIB 9529 / HD100)	387
A4SDL6	SUCC_CHLPM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cvib_0553	Chlorobium phaeovibrioides (strain DSM 265 / 1930) (Prosthecochloris vibrioformis (strain DSM 265))	391
Q6A6Y0	SUCC_CUTAK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PPA1755	Cutibacterium acnes (strain DSM 16379 / KPA171202) (Propionibacterium acnes)	391
Q482S1	SUCC_COLP3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CPS_2221	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	388
A7GYI5	SUCC_CAMC5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ccur92_09730 CCV52592_1882	Campylobacter curvus (strain 525.92)	390
A7MQX5	SUCC_CROS8	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ESA_02620	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	388
B3QWF8	SUCC_CHLT3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ctha_2267	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	392
B0TZ23	SUCC_FRAP2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Fphi_0246	Francisella philomiragia subsp. philomiragia (strain ATCC 25017)	387
A5F6G6	SUCC_VIBC3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VC0395_A1671 VC395_2200	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	388
A1SMQ5	SUCC_NOCSJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Noca_3590	Nocardioides sp. (strain ATCC BAA-499 / JS614)	386
Q15UW6	SUCC_PSEA6	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Patl_1801	Pseudoalteromonas atlantica (strain T6c / ATCC BAA-1087)	389
A8GNF5	SUCC_RICAH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC A1C_03220	Rickettsia akari (strain Hartford)	386
Q5P7A7	SUCC_AROAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC AZOSEA06810 ebA1272	Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	386
A8ZRW7	SUCC_DESOH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Dole_0074	Desulfococcus oleovorans (strain DSM 6200 / Hxd3)	388
Q6ARL2	SUCC_DESPS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC DP0284	Desulfotalea psychrophila (strain LSv54 / DSM 12343)	386
A4W879	SUCC_ENT38	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ent638_1228	Enterobacter sp. (strain 638)	388
B2VBR6	SUCC_ERWT9	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ETA_23020	Erwinia tasmaniensis (strain DSM 17950 / CIP 109463 / Et1/99)	388
Q9CNZ0	SUCC_PASMU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PM0280	Pasteurella multocida (strain Pm70)	388
B9EBC7	SUCC_MACCJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC MCCL_0831	Macrococcus caseolyticus (strain JCSC5402)	389
Q21RF9	SUCC_RHOFT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rfer_3945	Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Albidiferax ferrireducens)	388
C1AWW6	SUCC_RHOOB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ROP_56420	Rhodococcus opacus (strain B4)	389
A4WNM6	SUCC_RHOS5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rsph17025_0079	Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3)	397
A9MJL9	SUCC_SALAR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SARI_02210	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	388
A1BE51	SUCC_CHLPD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cpha266_0623	Chlorobium phaeobacteroides (strain DSM 266)	392
A3M887	SUCC_ACIBT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC A1S_2718	Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)	388
Q5PBI8	SUCC_ANAMM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC AM231	Anaplasma marginale (strain St. Maries)	388
B0VEF2	SUCC_ACIBY	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ABAYE0783	Acinetobacter baumannii (strain AYE)	388
B7IUJ5	SUCC_BACC2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BCG9842_B1309	Bacillus cereus (strain G9842)	386
A9AFT3	SUCC_BURM1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bmul_0653 BMULJ_02606	Burkholderia multivorans (strain ATCC 17616 / 249)	388
Q5HVN3	SUCC_CAMJR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CJE0637	Campylobacter jejuni (strain RM1221)	387
B6IZ97	SUCC_COXB2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CbuG_0616	Coxiella burnetii (strain CbuG_Q212) (Coxiella burnetii (strain Q212))	390
A9KBQ4	SUCC_COXBN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CBUD_0597	Coxiella burnetii (strain Dugway 5J108-111)	390
A5CU44	SUCC_CLAM3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CMM_2548	Clavibacter michiganensis subsp. michiganensis (strain NCPPB 382)	387
C4ZWK2	SUCC_ECOBW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BWG_0586	Escherichia coli (strain K12 / MC4100 / BW2952)	388
Q1CFM0	SUCC_YERPN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YPN_2883 YP516_3262	Yersinia pestis bv. Antiqua (strain Nepal516)	388
Q0HJQ4	SUCC_SHESM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Shewmr4_1637	Shewanella sp. (strain MR-4)	388
B2K8F1	SUCC_YERPB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YPTS_1226	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	388
Q3BQ83	SUCC_XANC5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC XCV3349	Xanthomonas campestris pv. vesicatoria (strain 85-10)	389
Q5HPU4	SUCD_STAEQ	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD SERP0814	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	302
Q9AKE1	SUCD_RICTY	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD RT0419	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	292
B0KNW8	SUCC_PSEPG	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PputGB1_3757	Pseudomonas putida (strain GB-1)	388
B4TBD7	SUCC_SALHS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SeHA_C0861	Salmonella heidelberg (strain SL476)	388
B5BC72	SUCC_SALPK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SSPA1867	Salmonella paratyphi A (strain AKU_12601)	388
B1LLG1	SUCC_ECOSM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC EcSMS35_0740	Escherichia coli (strain SMS-3-5 / SECEC)	388
B7HLG9	SUCC_BACC7	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BCAH187_A3883	Bacillus cereus (strain AH187)	386
A0RHK9	SUCC_BACAH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BALH_3467	Bacillus thuringiensis (strain Al Hakam)	386
A6VPM2	SUCC_ACTSZ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Asuc_1565	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / 130Z)	386
A1V6W8	SUCC_BURMS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BMASAVP1_A2675	Burkholderia mallei (strain SAVP1)	388
A8FKV6	SUCC_CAMJ8	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC C8J_0494	Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828)	387
Q31FV4	SUCC_HYDCU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Tcr_1374	Hydrogenovibrio crunogenus (strain XCL-2) (Thiomicrospira crunogena)	390
B4RCH3	SUCC_PHEZH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PHZ_c0158	Phenylobacterium zucineum (strain HLK1)	399
Q1B3V2	SUCC_MYCSS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Mmcs_4327	Mycobacterium sp. (strain MCS)	387
Q57RL3	SUCC_SALCH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SCH_0742	Salmonella choleraesuis (strain SC-B67)	388
C3PNF9	SUCC_RICAE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RAF_ORF0558	Rickettsia africae (strain ESF-5)	386
A7FKR4	SUCC_YERP3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YpsIP31758_2879	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	388
Q255N7	SUCC_CHLFF	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CF0229	Chlamydia felis (strain Fe/C-56) (Chlamydophila felis)	388
B7N9W6	SUCC_ECOLU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECUMN_0805	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	388
P0AGF0	SUCD_ECOL6	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD c0806	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	289
A3N693	SUCC_BURP6	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BURPS668_0813	Burkholderia pseudomallei (strain 668)	388
Q9PHY1	SUCC_CAMJE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cj0533	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	387
Q3KKL8	SUCC_CHLTA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CTA_0895	Chlamydia trachomatis serovar A (strain ATCC VR-571B / DSM 19440 / HAR-13)	386
B1X6Q8	SUCC_ECODH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECDH10B_0794	Escherichia coli (strain K12 / DH10B)	388
A7ZXY8	SUCC_ECOHS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC EcHS_A0775	Escherichia coli O9:H4 (strain HS)	388
B1IY02	SUCC_ECOLC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC EcolC_2928	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	388
Q2A253	SUCC_FRATH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC FTL_1553	Francisella tularensis subsp. holarctica (strain LVS)	387
Q5FH54	SUCC_EHRRG	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ERGA_CDS_01440	Ehrlichia ruminantium (strain Gardel)	386
Q2W063	SUCC_MAGSA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC amb3958	Magnetospirillum magneticum (strain AMB-1 / ATCC 700264)	398
B5XZD1	SUCC_KLEP3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC KPK_3836	Klebsiella pneumoniae (strain 342)	388
A9M4F8	SUCC_NEIM0	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NMCC_0902	Neisseria meningitidis serogroup C (strain 053442)	388
A8GS29	SUCC_RICRS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC A1G_03365	Rickettsia rickettsii (strain Sheila Smith)	386
A9L532	SUCC_SHEB9	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sbal195_2626	Shewanella baltica (strain OS195)	388
Q8DFQ1	SUCC_VIBVU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VV1_0155	Vibrio vulnificus (strain CMCP6)	388
B2HXG0	SUCC_ACIBC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ACICU_02952	Acinetobacter baumannii (strain ACICU)	388
B7M5P1	SUCC_ECO8A	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECIAI1_0701	Escherichia coli O8 (strain IAI1)	388
B6I7Z9	SUCC_ECOSE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECSE_0787	Escherichia coli (strain SE11)	388
C0PWE7	SUCC_SALPC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SPC_0735	Salmonella paratyphi C (strain RKS4594)	388
P0AGF1	SUCD_ECO57	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD Z0883 ECs0754	Escherichia coli O157:H7	289
A1WD26	SUCC_ACISJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ajs_4047	Acidovorax sp. (strain JS42)	386
B1JY14	SUCC_BURCC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bcenmc03_2678	Burkholderia cenocepacia (strain MC0-3)	388
A9VT74	SUCC_BACMK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BcerKBAB4_3659	Bacillus mycoides (strain KBAB4) (Bacillus weihenstephanensis)	386
Q39D96	SUCC_BURL3	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bcep18194_A5976	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	388
P66868	SUCC_BRUSU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BR1926 BS1330_I1920	Brucella suis biovar 1 (strain 1330)	398
